microorganism;antibiotic
Acetobacterium;Aztreonam
Acetobacterium;Colistin
Acetobacterium;Nalidixic acid
Acetobacterium;Polymyxin B
Acetobacterium;Temocillin
Acetobacterium bakii;Aztreonam
Acetobacterium bakii;Colistin
Acetobacterium bakii;Nalidixic acid
Acetobacterium bakii;Polymyxin B
Acetobacterium bakii;Temocillin
Acetobacterium carbinolicum;Aztreonam
Acetobacterium carbinolicum;Colistin
Acetobacterium carbinolicum;Nalidixic acid
Acetobacterium carbinolicum;Polymyxin B
Acetobacterium carbinolicum;Temocillin
Acetobacterium dehalogenans;Aztreonam
Acetobacterium dehalogenans;Colistin
Acetobacterium dehalogenans;Nalidixic acid
Acetobacterium dehalogenans;Polymyxin B
Acetobacterium dehalogenans;Temocillin
Acetobacterium fimetarium;Aztreonam
Acetobacterium fimetarium;Colistin
Acetobacterium fimetarium;Nalidixic acid
Acetobacterium fimetarium;Polymyxin B
Acetobacterium fimetarium;Temocillin
Acetobacterium malicum;Aztreonam
Acetobacterium malicum;Colistin
Acetobacterium malicum;Nalidixic acid
Acetobacterium malicum;Polymyxin B
Acetobacterium malicum;Temocillin
Acetobacterium paludosum;Aztreonam
Acetobacterium paludosum;Colistin
Acetobacterium paludosum;Nalidixic acid
Acetobacterium paludosum;Polymyxin B
Acetobacterium paludosum;Temocillin
Acetobacterium tundrae;Aztreonam
Acetobacterium tundrae;Colistin
Acetobacterium tundrae;Nalidixic acid
Acetobacterium tundrae;Polymyxin B
Acetobacterium tundrae;Temocillin
Acetobacterium wieringae;Aztreonam
Acetobacterium wieringae;Colistin
Acetobacterium wieringae;Nalidixic acid
Acetobacterium wieringae;Polymyxin B
Acetobacterium wieringae;Temocillin
Acetobacterium woodii;Aztreonam
Acetobacterium woodii;Colistin
Acetobacterium woodii;Nalidixic acid
Acetobacterium woodii;Polymyxin B
Acetobacterium woodii;Temocillin
Acetogenium;Aztreonam
Acetogenium;Colistin
Acetogenium;Nalidixic acid
Acetogenium;Polymyxin B
Acetogenium;Temocillin
Acetogenium kivui;Aztreonam
Acetogenium kivui;Colistin
Acetogenium kivui;Nalidixic acid
Acetogenium kivui;Polymyxin B
Acetogenium kivui;Temocillin
Acetohalobiaceae;Aztreonam
Acetohalobiaceae;Colistin
Acetohalobiaceae;Nalidixic acid
Acetohalobiaceae;Polymyxin B
Acetohalobiaceae;Temocillin
Acetohalobium;Aztreonam
Acetohalobium;Colistin
Acetohalobium;Nalidixic acid
Acetohalobium;Polymyxin B
Acetohalobium;Temocillin
Acetohalobium arabaticum;Aztreonam
Acetohalobium arabaticum;Colistin
Acetohalobium arabaticum;Nalidixic acid
Acetohalobium arabaticum;Polymyxin B
Acetohalobium arabaticum;Temocillin
Acetomicrobium faecale;Aztreonam
Acetomicrobium faecale;Colistin
Acetomicrobium faecale;Nalidixic acid
Acetomicrobium faecale;Polymyxin B
Acetomicrobium faecale;Temocillin
Acetomicrobium faecalis;Aztreonam
Acetomicrobium faecalis;Colistin
Acetomicrobium faecalis;Nalidixic acid
Acetomicrobium faecalis;Polymyxin B
Acetomicrobium faecalis;Temocillin
Acholeplasma;Aztreonam
Acholeplasma;Colistin
Acholeplasma;Nalidixic acid
Acholeplasma;Polymyxin B
Acholeplasma;Temocillin
Acholeplasma axanthum;Aztreonam
Acholeplasma axanthum;Colistin
Acholeplasma axanthum;Nalidixic acid
Acholeplasma axanthum;Polymyxin B
Acholeplasma axanthum;Temocillin
Acholeplasma brassicae;Aztreonam
Acholeplasma brassicae;Colistin
Acholeplasma brassicae;Nalidixic acid
Acholeplasma brassicae;Polymyxin B
Acholeplasma brassicae;Temocillin
Acholeplasma cavigenitalium;Aztreonam
Acholeplasma cavigenitalium;Colistin
Acholeplasma cavigenitalium;Nalidixic acid
Acholeplasma cavigenitalium;Polymyxin B
Acholeplasma cavigenitalium;Temocillin
Acholeplasma entomophilum;Aztreonam
Acholeplasma entomophilum;Colistin
Acholeplasma entomophilum;Nalidixic acid
Acholeplasma entomophilum;Polymyxin B
Acholeplasma entomophilum;Temocillin
Acholeplasma equifetale;Aztreonam
Acholeplasma equifetale;Colistin
Acholeplasma equifetale;Nalidixic acid
Acholeplasma equifetale;Polymyxin B
Acholeplasma equifetale;Temocillin
Acholeplasma equirhinis;Aztreonam
Acholeplasma equirhinis;Colistin
Acholeplasma equirhinis;Nalidixic acid
Acholeplasma equirhinis;Polymyxin B
Acholeplasma equirhinis;Temocillin
Acholeplasma florum;Aztreonam
Acholeplasma florum;Colistin
Acholeplasma florum;Nalidixic acid
Acholeplasma florum;Polymyxin B
Acholeplasma florum;Temocillin
Acholeplasma granularum;Aztreonam
Acholeplasma granularum;Colistin
Acholeplasma granularum;Nalidixic acid
Acholeplasma granularum;Polymyxin B
Acholeplasma granularum;Temocillin
Acholeplasma hippikon;Aztreonam
Acholeplasma hippikon;Colistin
Acholeplasma hippikon;Nalidixic acid
Acholeplasma hippikon;Polymyxin B
Acholeplasma hippikon;Temocillin
Acholeplasma laidlawii;Aztreonam
Acholeplasma laidlawii;Colistin
Acholeplasma laidlawii;Nalidixic acid
Acholeplasma laidlawii;Polymyxin B
Acholeplasma laidlawii;Temocillin
Acholeplasma modicum;Aztreonam
Acholeplasma modicum;Colistin
Acholeplasma modicum;Nalidixic acid
Acholeplasma modicum;Polymyxin B
Acholeplasma modicum;Temocillin
Acholeplasma morum;Aztreonam
Acholeplasma morum;Colistin
Acholeplasma morum;Nalidixic acid
Acholeplasma morum;Polymyxin B
Acholeplasma morum;Temocillin
Acholeplasma multilocale;Aztreonam
Acholeplasma multilocale;Colistin
Acholeplasma multilocale;Nalidixic acid
Acholeplasma multilocale;Polymyxin B
Acholeplasma multilocale;Temocillin
Acholeplasma oculi;Aztreonam
Acholeplasma oculi;Colistin
Acholeplasma oculi;Nalidixic acid
Acholeplasma oculi;Polymyxin B
Acholeplasma oculi;Temocillin
Acholeplasma oculusi;Aztreonam
Acholeplasma oculusi;Colistin
Acholeplasma oculusi;Nalidixic acid
Acholeplasma oculusi;Polymyxin B
Acholeplasma oculusi;Temocillin
Acholeplasma palmae;Aztreonam
Acholeplasma palmae;Colistin
Acholeplasma palmae;Nalidixic acid
Acholeplasma palmae;Polymyxin B
Acholeplasma palmae;Temocillin
Acholeplasma parvum;Aztreonam
Acholeplasma parvum;Colistin
Acholeplasma parvum;Nalidixic acid
Acholeplasma parvum;Polymyxin B
Acholeplasma parvum;Temocillin
Acholeplasma pleciae;Aztreonam
Acholeplasma pleciae;Colistin
Acholeplasma pleciae;Nalidixic acid
Acholeplasma pleciae;Polymyxin B
Acholeplasma pleciae;Temocillin
Acholeplasma seiffertii;Aztreonam
Acholeplasma seiffertii;Colistin
Acholeplasma seiffertii;Nalidixic acid
Acholeplasma seiffertii;Polymyxin B
Acholeplasma seiffertii;Temocillin
Acholeplasma vituli;Aztreonam
Acholeplasma vituli;Colistin
Acholeplasma vituli;Nalidixic acid
Acholeplasma vituli;Polymyxin B
Acholeplasma vituli;Temocillin
Acholeplasmataceae;Aztreonam
Acholeplasmataceae;Colistin
Acholeplasmataceae;Nalidixic acid
Acholeplasmataceae;Polymyxin B
Acholeplasmataceae;Temocillin
Acholeplasmatales;Aztreonam
Acholeplasmatales;Colistin
Acholeplasmatales;Nalidixic acid
Acholeplasmatales;Polymyxin B
Acholeplasmatales;Temocillin
Achromobacter;Acetylmidecamycin
Achromobacter;Acetylspiramycin
Achromobacter;Avoparcin
Achromobacter;Azithromycin
Achromobacter;Benzylpenicillin
Achromobacter;Bleomycin
Achromobacter;Cadazolid
Achromobacter;Cefacetrile
Achromobacter;Cefaclor
Achromobacter;Cefadroxil
Achromobacter;Cefalexin
Achromobacter;Cefaloridine
Achromobacter;Cefalotin
Achromobacter;Cefamandole
Achromobacter;Cefapirin
Achromobacter;Cefatrizine
Achromobacter;Cefazedone
Achromobacter;Cefazolin
Achromobacter;Cefmetazole
Achromobacter;Cefonicid
Achromobacter;Ceforanide
Achromobacter;Cefotetan
Achromobacter;Cefotiam
Achromobacter;Cefoxitin
Achromobacter;Cefprozil
Achromobacter;Cefroxadine
Achromobacter;Ceftezole
Achromobacter;Cefuroxime
Achromobacter;Cefuroxime axetil
Achromobacter;Cephradine
Achromobacter;Clarithromycin
Achromobacter;Clindamycin
Achromobacter;Cycloserine
Achromobacter;Dalbavancin
Achromobacter;Dirithromycin
Achromobacter;Erythromycin
Achromobacter;Flurithromycin
Achromobacter;Fusidic acid
Achromobacter;Gamithromycin
Achromobacter;Josamycin
Achromobacter;Kitasamycin
Achromobacter;Lincomycin
Achromobacter;Linezolid
Achromobacter;Loracarbef
Achromobacter;Meleumycin
Achromobacter;Midecamycin
Achromobacter;Miocamycin
Achromobacter;Nafithromycin
Achromobacter;Norvancomycin
Achromobacter;Oleandomycin
Achromobacter;Oritavancin
Achromobacter;Pirlimycin
Achromobacter;Pristinamycin
Achromobacter;Quinupristin/dalfopristin
Achromobacter;Ramoplanin
Achromobacter;Rifampicin
Achromobacter;Rokitamycin
Achromobacter;Roxithromycin
Achromobacter;Solithromycin
Achromobacter;Spiramycin
Achromobacter;Tedizolid
Achromobacter;Teicoplanin
Achromobacter;Telavancin
Achromobacter;Telithromycin
Achromobacter;Thiacetazone
Achromobacter;Tildipirosin
Achromobacter;Tilmicosin
Achromobacter;Troleandomycin
Achromobacter;Tulathromycin
Achromobacter;Tylosin
Achromobacter;Tylvalosin
Achromobacter;Vancomycin
Achromobacter aegrifaciens;Acetylmidecamycin
Achromobacter aegrifaciens;Acetylspiramycin
Achromobacter aegrifaciens;Avoparcin
Achromobacter aegrifaciens;Azithromycin
Achromobacter aegrifaciens;Benzylpenicillin
Achromobacter aegrifaciens;Bleomycin
Achromobacter aegrifaciens;Cadazolid
Achromobacter aegrifaciens;Cefacetrile
Achromobacter aegrifaciens;Cefaclor
Achromobacter aegrifaciens;Cefadroxil
Achromobacter aegrifaciens;Cefalexin
Achromobacter aegrifaciens;Cefaloridine
Achromobacter aegrifaciens;Cefalotin
Achromobacter aegrifaciens;Cefamandole
Achromobacter aegrifaciens;Cefapirin
Achromobacter aegrifaciens;Cefatrizine
Achromobacter aegrifaciens;Cefazedone
Achromobacter aegrifaciens;Cefazolin
Achromobacter aegrifaciens;Cefmetazole
Achromobacter aegrifaciens;Cefonicid
Achromobacter aegrifaciens;Ceforanide
Achromobacter aegrifaciens;Cefotetan
Achromobacter aegrifaciens;Cefotiam
Achromobacter aegrifaciens;Cefoxitin
Achromobacter aegrifaciens;Cefprozil
Achromobacter aegrifaciens;Cefroxadine
Achromobacter aegrifaciens;Ceftezole
Achromobacter aegrifaciens;Cefuroxime
Achromobacter aegrifaciens;Cefuroxime axetil
Achromobacter aegrifaciens;Cephradine
Achromobacter aegrifaciens;Clarithromycin
Achromobacter aegrifaciens;Clindamycin
Achromobacter aegrifaciens;Cycloserine
Achromobacter aegrifaciens;Dalbavancin
Achromobacter aegrifaciens;Dirithromycin
Achromobacter aegrifaciens;Erythromycin
Achromobacter aegrifaciens;Flurithromycin
Achromobacter aegrifaciens;Fusidic acid
Achromobacter aegrifaciens;Gamithromycin
Achromobacter aegrifaciens;Josamycin
Achromobacter aegrifaciens;Kitasamycin
Achromobacter aegrifaciens;Lincomycin
Achromobacter aegrifaciens;Linezolid
Achromobacter aegrifaciens;Loracarbef
Achromobacter aegrifaciens;Meleumycin
Achromobacter aegrifaciens;Midecamycin
Achromobacter aegrifaciens;Miocamycin
Achromobacter aegrifaciens;Nafithromycin
Achromobacter aegrifaciens;Norvancomycin
Achromobacter aegrifaciens;Oleandomycin
Achromobacter aegrifaciens;Oritavancin
Achromobacter aegrifaciens;Pirlimycin
Achromobacter aegrifaciens;Pristinamycin
Achromobacter aegrifaciens;Quinupristin/dalfopristin
Achromobacter aegrifaciens;Ramoplanin
Achromobacter aegrifaciens;Rifampicin
Achromobacter aegrifaciens;Rokitamycin
Achromobacter aegrifaciens;Roxithromycin
Achromobacter aegrifaciens;Solithromycin
Achromobacter aegrifaciens;Spiramycin
Achromobacter aegrifaciens;Tedizolid
Achromobacter aegrifaciens;Teicoplanin
Achromobacter aegrifaciens;Telavancin
Achromobacter aegrifaciens;Telithromycin
Achromobacter aegrifaciens;Thiacetazone
Achromobacter aegrifaciens;Tildipirosin
Achromobacter aegrifaciens;Tilmicosin
Achromobacter aegrifaciens;Troleandomycin
Achromobacter aegrifaciens;Tulathromycin
Achromobacter aegrifaciens;Tylosin
Achromobacter aegrifaciens;Tylvalosin
Achromobacter aegrifaciens;Vancomycin
Achromobacter aestuarii;Acetylmidecamycin
Achromobacter aestuarii;Acetylspiramycin
Achromobacter aestuarii;Avoparcin
Achromobacter aestuarii;Azithromycin
Achromobacter aestuarii;Benzylpenicillin
Achromobacter aestuarii;Bleomycin
Achromobacter aestuarii;Cadazolid
Achromobacter aestuarii;Cefacetrile
Achromobacter aestuarii;Cefaclor
Achromobacter aestuarii;Cefadroxil
Achromobacter aestuarii;Cefalexin
Achromobacter aestuarii;Cefaloridine
Achromobacter aestuarii;Cefalotin
Achromobacter aestuarii;Cefamandole
Achromobacter aestuarii;Cefapirin
Achromobacter aestuarii;Cefatrizine
Achromobacter aestuarii;Cefazedone
Achromobacter aestuarii;Cefazolin
Achromobacter aestuarii;Cefmetazole
Achromobacter aestuarii;Cefonicid
Achromobacter aestuarii;Ceforanide
Achromobacter aestuarii;Cefotetan
Achromobacter aestuarii;Cefotiam
Achromobacter aestuarii;Cefoxitin
Achromobacter aestuarii;Cefprozil
Achromobacter aestuarii;Cefroxadine
Achromobacter aestuarii;Ceftezole
Achromobacter aestuarii;Cefuroxime
Achromobacter aestuarii;Cefuroxime axetil
Achromobacter aestuarii;Cephradine
Achromobacter aestuarii;Clarithromycin
Achromobacter aestuarii;Clindamycin
Achromobacter aestuarii;Cycloserine
Achromobacter aestuarii;Dalbavancin
Achromobacter aestuarii;Dirithromycin
Achromobacter aestuarii;Erythromycin
Achromobacter aestuarii;Flurithromycin
Achromobacter aestuarii;Fusidic acid
Achromobacter aestuarii;Gamithromycin
Achromobacter aestuarii;Josamycin
Achromobacter aestuarii;Kitasamycin
Achromobacter aestuarii;Lincomycin
Achromobacter aestuarii;Linezolid
Achromobacter aestuarii;Loracarbef
Achromobacter aestuarii;Meleumycin
Achromobacter aestuarii;Midecamycin
Achromobacter aestuarii;Miocamycin
Achromobacter aestuarii;Nafithromycin
Achromobacter aestuarii;Norvancomycin
Achromobacter aestuarii;Oleandomycin
Achromobacter aestuarii;Oritavancin
Achromobacter aestuarii;Pirlimycin
Achromobacter aestuarii;Pristinamycin
Achromobacter aestuarii;Quinupristin/dalfopristin
Achromobacter aestuarii;Ramoplanin
Achromobacter aestuarii;Rifampicin
Achromobacter aestuarii;Rokitamycin
Achromobacter aestuarii;Roxithromycin
Achromobacter aestuarii;Solithromycin
Achromobacter aestuarii;Spiramycin
Achromobacter aestuarii;Tedizolid
Achromobacter aestuarii;Teicoplanin
Achromobacter aestuarii;Telavancin
Achromobacter aestuarii;Telithromycin
